publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	location	title_notes	staff_notes	vendor_id	oclc_collection_name	oclc_collection_id	oclc_entry_id	oclc_linkscheme	oclc_number	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Caesarea Maritima : A Retrospective after Two Millennia 									http://hdl.handle.net/2333.1/n5tb2t5c	Avner Raban 	n5tb2t5c		fulltext							Ancient World Digital Library	global.5644.217	605932967		605932967	monograph								free
Candidates defeated in Roman elections 									http://hdl.handle.net/2333.1/n8pk0vpm	T. Robert S. Broughton	n8pk0vpm		fulltext							Ancient World Digital Library	global.5644.217	81145291		81145291	monograph								free
Carthage et les Grecs, c. 580-480 av. J.-C. : Textes et histoire 									http://hdl.handle.net/2333.1/jq2bvs24	Véronique Krings	jq2bvs24		fulltext							Ancient World Digital Library	global.5644.217	607385092		607385092	monograph								free
Catalogue des monuments et inscriptions de l'Égypte antique (t.2) 									http://hdl.handle.net/2333.1/95x6b08x		95x6b08x		fulltext							Ancient World Digital Library	global.5644.217	730929779a		730929779	monograph								free
Catalogue des monuments et inscriptions de l'Égypte antique (t.3.1) 									http://hdl.handle.net/2333.1/jq2bw1bp		jq2bw1bp		fulltext							Ancient World Digital Library	global.5644.217	730929779c		730929779	monograph								free
Catalogue des monuments et inscriptions de l'Égypte antique (t.3.2) 									http://hdl.handle.net/2333.1/dz08m0tb		dz08m0tb		fulltext							Ancient World Digital Library	global.5644.217	730929779b		730929779	monograph								free
Catalogue général des monuments d'Abydos découverts pendant les fouilles de cette ville 									http://hdl.handle.net/2333.1/pg4f51vz		pg4f51vz		fulltext							Ancient World Digital Library	global.5644.217	747118018		747118018	monograph								free
Catalogue of Egyptian scarabs, etc., in the British museum 									http://hdl.handle.net/2333.1/xwdbs571		xwdbs571		fulltext							Ancient World Digital Library	global.5644.217	744746891		744746891	monograph								free
Catalogue of the Egyptian antiquities in the Ashmolean Museum, Oxford 									http://hdl.handle.net/2333.1/t76hf2b2		t76hf2b2		fulltext							Ancient World Digital Library	global.5644.217	730929782		730929782	monograph								free
Census of the exact sciences in Sanskrit Series A (v.1) 									http://hdl.handle.net/2333.1/dr7sr1xb	David Edwin Pingree	dr7sr1xb		fulltext							Ancient World Digital Library	global.5644.217	619804111a		619804111	monograph			1					free
Census of the exact sciences in Sanskrit Series A (v.2) 									http://hdl.handle.net/2333.1/905qg1d7	David Edwin Pingree	905qg1d7		fulltext							Ancient World Digital Library	global.5644.217	619804111b		619804111	monograph			2					free
Census of the exact sciences in Sanskrit Series A (v.3) 									http://hdl.handle.net/2333.1/573n60td	David Edwin Pingree	573n60td		fulltext							Ancient World Digital Library	global.5644.217	619804111c		619804111	monograph			3					free
Census of the exact sciences in Sanskrit Series A (v.4) 									http://hdl.handle.net/2333.1/2z34tx4j	David Edwin Pingree	2z34tx4j		fulltext							Ancient World Digital Library	global.5644.217	619804111d		619804111	monograph			4					free
Cercueils anthropoïdes des prêtres de Montou v.1 									http://hdl.handle.net/2333.1/2fqz690w	Henri Gauthier	2fqz690w		fulltext							Ancient World Digital Library	global.5644.217			734083790	monograph			1					free
Cercueils anthropoïdes des prêtres de Montou v.2 									http://hdl.handle.net/2333.1/xpnvx8nm	Henri Gauthier	xpnvx8nm		fulltext							Ancient World Digital Library	global.5644.217			734083790	monograph			2					free
Chester Beatty Biblical papyri IV and V 									http://hdl.handle.net/2333.1/4tmpg8x0	Albert Pietersma	4tmpg8x0		fulltext							Ancient World Digital Library	global.5644.217	669336147		669336147	monograph								free
Christianity, Judaism and Other Greco-Roman Cults, Volume 2: Early Christianity 									http://hdl.handle.net/2333.1/1jwstscj	J. Neusner	1jwstscj		fulltext							Ancient World Digital Library	global.5644.217	45842663		45842663	monograph								free
Circle of Inner Asian Art and Archaeology Newsletter 	1363-7126		1995			1995			http://hdl.handle.net/2333.1/66t1g3st		66t1g3st		fulltext							Ancient World Digital Library	global.5644.217	1242938352		1242938352									free
Circle of Inner Asian Art Newsletter 	1364-9418	1364-9418	1995			2005			http://hdl.handle.net/2333.1/r7sqvn4q		r7sqvn4q		fulltext							Ancient World Digital Library	global.5644.217	608108449		608108449									free
Collection d'anciennes étoffes égyptiennes 									http://hdl.handle.net/2333.1/kprr57mx		kprr57mx		fulltext							Ancient World Digital Library	global.5644.217	744746991		744746991	monograph								free
Collection du Docteur Fouquet, du Caire. 									http://hdl.handle.net/2333.1/qfttf831		qfttf831		fulltext							Ancient World Digital Library	global.5644.217	746172806		746172806	monograph								free
Columbia papyri IX : the Vestis militaris codex (P.Col. IX) 									http://hdl.handle.net/2333.1/m63xsmx8	Jennifer A. Sheridan	m63xsmx8		fulltext							Ancient World Digital Library	global.5644.217	606325377		606325377	monograph								free
Columbia Papyri VII 									http://hdl.handle.net/2333.1/kwh70xjb	Roger S. Bagnall	kwh70xjb		fulltext							Ancient World Digital Library	global.5644.217	669331632		669331632	monograph								free
Columbia papyri VIII (P.Col. VIII) 									http://hdl.handle.net/2333.1/7wm37smm	K. A. Worp	7wm37smm		fulltext							Ancient World Digital Library	global.5644.217	682467499		682467499	monograph								free
Columbia papyri X 									http://hdl.handle.net/2333.1/h44j148b	Roger S. Bagnall	h44j148b		fulltext							Ancient World Digital Library	global.5644.217	606341826		606341826	monograph								free
Columbia papyri XI (P.Col. XI) 									http://hdl.handle.net/2333.1/qz612ndk	Timothy M. Teeter	qz612ndk		fulltext							Ancient World Digital Library	global.5644.217	675979462		675979462	monograph								free
Corpus des ordonnances des Ptolémées (C. Ord. Ptol.) 									http://hdl.handle.net/2333.1/37pvmjmv	Marie-Thérèse Lenger	37pvmjmv		fulltext							Ancient World Digital Library	global.5644.217	669326571		669326571	monograph								free
Cult Practices in Ancient Literatures 									http://hdl.handle.net/2333.1/5dv41zmf	Franziska Naether	5dv41zmf		fulltext							Ancient World Digital Library	global.5644.217	1176369802		1176369802	monograph								free
Cuneiform Inscriptions in the Collection of the Bible Lands Museum Jerusalem : The Emar Tablets 									http://hdl.handle.net/2333.1/4b8gtkmk	J.G. Westenholz	4b8gtkmk		fulltext							Ancient World Digital Library	global.5644.217	646929447		646929447	monograph								free
Currency and Inflation in Fourth Century Egypt 									http://hdl.handle.net/2333.1/vq83br0t	Roger S. Bagnall	vq83br0t		fulltext							Ancient World Digital Library	global.5644.217	1001271986		1001271986	monograph								free
Current practice in linked open data for the ancient world 									http://doi.org/2333.1/gxd256w7	Tom Elliott	gxd256w7		fulltext							Ancient World Digital Library	global.5644.217			1225156132	monograph								free
Das Bundesbuch : ein Kommentar 									http://hdl.handle.net/2333.1/kprr50bj	Cornelis Houtman	kprr50bj		fulltext							Ancient World Digital Library	global.5644.217			1224917304	monograph								free
Das Egibi Archiv I v.1 									http://hdl.handle.net/2333.1/q83bk5f2	C. Wunsch	q83bk5f2		fulltext							Ancient World Digital Library	global.5644.217			1224935670	monograph						1		free
Das Egibi Archiv I v.2 									http://hdl.handle.net/2333.1/kkwh72mg	C. Wunsch	kkwh72mg		fulltext							Ancient World Digital Library	global.5644.217			1224935670	monograph						2		free
Das Kloster am Isisberg : Bericht über die Grabungen der Akademie der Wissenschaften in Wien auf den Friedhöfen von El-Kubanieh, Winter, 1910-1911 : dritter Teil 									http://hdl.handle.net/2333.1/zw3r2cdm		zw3r2cdm		fulltext							Ancient World Digital Library	global.5644.217	746172810		746172810	monograph								free
Das Re-heiligtum des Königs Ne-woser-re (Rathures) Bd.1 									http://hdl.handle.net/2333.1/fttdz2jb	Friedrich Wilhelm von Bissing	fttdz2jb		fulltext							Ancient World Digital Library	global.5644.217	919909711a		919909711	monograph								free
Das Re-heiligtum des Königs Ne-woser-re (Rathures) Bd.2 									http://hdl.handle.net/2333.1/b5mkkzrx	Friedrich Wilhelm von Bissing	b5mkkzrx		fulltext							Ancient World Digital Library	global.5644.217	919909711b		919909711	monograph								free
Das Symposion Ptolemaios II 									http://hdl.handle.net/2333.1/3n5tbcrj		3n5tbcrj		fulltext							Ancient World Digital Library	global.5644.217	780204399		780204399	monograph								free
Death and taxes : Ostraka in the Royal Ontario Museum I 									http://hdl.handle.net/2333.1/h70rz1zt	Alan Edouard Samuel	h70rz1zt		fulltext							Ancient World Digital Library	global.5644.217	669326398		669326398	monograph								free
Debod bis Bab Kalabsche (t.1) 									http://hdl.handle.net/2333.1/h1893c35		h1893c35		fulltext							Ancient World Digital Library	global.5644.217	746172812a		746103390	monograph								free
Debod bis Bab Kalabsche (t.2) 									http://hdl.handle.net/2333.1/9w0vtd9b		9w0vtd9b		fulltext							Ancient World Digital Library	global.5644.217	746172812b		746103390	monograph								free
Debod bis Bab Kalabsche (t.3) 									http://hdl.handle.net/2333.1/0zpc8hbd		0zpc8hbd		fulltext							Ancient World Digital Library	global.5644.217	746172812c		746103390	monograph								free
Décoration égyptienne 									http://hdl.handle.net/2333.1/kkwh732t	Gustave Jéquier	kkwh732t		fulltext							Ancient World Digital Library	global.5644.217	747117990		747117990	monograph								free
Dendereh, 1898 									http://hdl.handle.net/2333.1/fn2z3dtm	W. M. Flinders Petrie	fn2z3dtm		fulltext							Ancient World Digital Library	global.5644.217	746177324		746177324	monograph								free
Der Tempel von Jerusalem von Salomo bis Herodes : Eine archäologisch-historische Studie unter Berücksichtigung des westsemitischen Tempelbaus, I. Der Tempel Salomons. 									http://hdl.handle.net/2333.1/2jm640h5	T.A. Busink	2jm640h5		fulltext							Ancient World Digital Library	global.5644.217			561864350	monograph								free
Descrizione delle medaglie dei Nômi ossia delle antiche province e città dell'Egitto, che si conservano nel R. Museo di Torino del Cav. Giulio de S. Quintino 									http://hdl.handle.net/2333.1/rbnzsjmw		rbnzsjmw		fulltext							Ancient World Digital Library	global.5644.217	746177325		746177325	monograph								free
Deshasheh, 1897 									http://hdl.handle.net/2333.1/kd51cf9t	W. M. Flinders Petrie	kd51cf9t		fulltext							Ancient World Digital Library	global.5644.217	746177327		746177327	monograph								free
Die antiken Vasen von der Akropolis zu Athen, Band 1, Heft 3 									http://hdl.handle.net/2333.1/866t1j81	Botho Graef	866t1j81		fulltext							Ancient World Digital Library	global.5644.217	792695127a		792695127	monograph								free
Die antiken Vasen von der Akropolis zu Athen, Band 1, Heft 4 									http://hdl.handle.net/2333.1/0p2ngh7d	Botho Graef	0p2ngh7d		fulltext							Ancient World Digital Library	global.5644.217	792695127b		792695127	monograph								free
Die Göttin Mr. T. Entstehung und Verehrung einer Personifikation 									http://hdl.handle.net/2333.1/0gb5mnb4	W. Guglielmi	0gb5mnb4		fulltext							Ancient World Digital Library	global.5644.217	945908070		945908070	monograph								free
Die griechische Daniel-Diegese 									http://hdl.handle.net/2333.1/1rn8pmqv	Klaus Berger	1rn8pmqv		fulltext							Ancient World Digital Library	global.5644.217	562131679		562131679	monograph								free
Die ḫattisch-hethitischen Bilinguen, I. Einleitung, Texte und Kommentar, Teil 1 									http://hdl.handle.net/2333.1/fttdz236	Hans-Siegfried Schuster	fttdz236		fulltext							Ancient World Digital Library	global.5644.217			579028506	monograph								free
Die Kultur des alten Ägyptens 									http://hdl.handle.net/2333.1/0vt4bkf4		0vt4bkf4		fulltext							Ancient World Digital Library	global.5644.217	616562777		616562777	monograph								free
Die Liebe in der altorientalischen Dichtung 									http://hdl.handle.net/2333.1/98sf7nsq	Brigitte Musche	98sf7nsq		fulltext							Ancient World Digital Library	global.5644.217			1224940809	monograph								free
Die Papyri der Universitatsbibliothek Erlangen 									http://hdl.handle.net/2333.1/3n5tb734	Wilhelm Schubart	3n5tb734		fulltext							Ancient World Digital Library	global.5644.217	970348280		970348280	monograph								free
Die Plastik der Ägypter 									http://hdl.handle.net/2333.1/83bk3q4p	Hedwig echheimer	83bk3q4p		fulltext							Ancient World Digital Library	global.5644.217	560383059		697616080	monograph								free
Die Reliefs und Malereien des mittleren Reiches (VII.--XVII. Dynastie ca 2475--1580 v. Chr.) : Material zur ägyptischen Kulturgeschichte 									http://hdl.handle.net/2333.1/cvdncqns	Luise Sigwart Klebs	cvdncqns		fulltext							Ancient World Digital Library	global.5644.217	866568607		866568607	monograph								free
Die Sammlung ägyptischer Altertümer im Roemer-Pelizaeus-Museum. 									http://hdl.handle.net/2333.1/zs7h4fr1		zs7h4fr1		fulltext							Ancient World Digital Library	global.5644.217	746172813		746172813	monograph								free
Die sassanidischen Staatsinschriften : Studien zur Orthographie und Phonologie des Mittelpersischen der Inschriften zusammen mit einem etymologischen Index des mittelpersischen Wortgutes und einem Textcorpus der behandelten Inschriften. (Textes et mémoires, 8) 									http://hdl.handle.net/2333.1/8cz8wc7g	M. Back	8cz8wc7g		fulltext							Ancient World Digital Library	global.5644.217	566176108		566176108	monograph								free
Die Urkunden des babylonischen Geschäftsmannes Iddin-Marduk v.1 : Zum Handel mit Naturalien im 6. Jahrhundert v. Chr 									http://hdl.handle.net/2333.1/kd51c75m	C. Wunsch	kd51c75m		fulltext							Ancient World Digital Library	global.5644.217	609535251a		609535251	monograph			1					free
Die Urkunden des babylonischen Geschäftsmannes Iddin-Marduk v.2 : Zum Handel mit Naturalien im 6. Jahrhundert v. Chr 									http://hdl.handle.net/2333.1/fn2z36n5	C. Wunsch	fn2z36n5		fulltext							Ancient World Digital Library	global.5644.217	609535251b		609535251	monograph			2					free
Documentary papyri from the Michigan collection 									http://hdl.handle.net/2333.1/wh70s3hv	Gerald M. Browne	wh70s3hv		fulltext							Ancient World Digital Library	global.5644.217	679943776		679943776	monograph								free
Domination and Resistance : Egyptian Military Activity in the Southern Levant, ca. 1300-1185 B.C. 									http://hdl.handle.net/2333.1/6hdr7vhh	Michael G. Hasel	6hdr7vhh		fulltext							Ancient World Digital Library	global.5644.217	645900265		645900265	monograph								free
Dresses in ancient Egypt = Le costume dans l'Egypte ancienne = al-AzyaÌ„Ê¼ fiÌ„ MisÌ£r al-qadiÌ„mah 									http://hdl.handle.net/2333.1/r4xgxjw0	Aḥmad Badawī	r4xgxjw0		fulltext							Ancient World Digital Library	global.5644.217	746172815		746172815	monograph								free
Early History of the Israelite People: from the written and archaeological sources 									http://hdl.handle.net/2333.1/dv41ntvz	Thomas L. Thompson	dv41ntvz		fulltext					Date of Publication: 2000		Ancient World Digital Library	global.5644.217	1225240315		1225240315	monograph								free
Early History of the Israelite People: from the written and archaeological sources 									http://hdl.handle.net/2333.1/5hqbzn8f	Thomas L. Thompson	5hqbzn8f		fulltext					Date of Publication: 1992		Ancient World Digital Library	global.5644.217	622134924		622134924	monograph								free
Égypte 									http://hdl.handle.net/2333.1/0k6djt9b		0k6djt9b		fulltext							Ancient World Digital Library	global.5644.217	900704342		900704342	monograph								free
Egyptian antiquities in the Pier collection. 									http://hdl.handle.net/2333.1/q83bkdp6		q83bkdp6		fulltext							Ancient World Digital Library	global.5644.217	769625926		769625926	monograph								free
Egyptian cubits and Late Roman architecture 									http://hdl.handle.net/2333.1/5tb2rmg1	Corinna Rossi	5tb2rmg1		fulltext							Ancient World Digital Library	global.5644.217	1124934915		1124934915	monograph								free
Egyptian decorative art a course of lectures delivered at the Royal Institution, 									http://hdl.handle.net/2333.1/kh189d4t		kh189d4t		fulltext							Ancient World Digital Library	global.5644.217	908417072		908417072	monograph								free
Egyptian Non-Royal Epithets in the Middle Kingdom : A Social and Historical Analysis 									http://hdl.handle.net/2333.1/mcvdnfc7	Denise M. Doxey	mcvdnfc7		fulltext							Ancient World Digital Library	global.5644.217			1224935933	monograph								free
Egyptianization and Elite Emulation in Ramesside Palestine : Governance and Accommodation on the Imperial Periphery 									http://hdl.handle.net/2333.1/0p2nggs2	Carolyn R. Higginbotham	0p2nggs2		fulltext							Ancient World Digital Library	global.5644.217	606546040		606546040	monograph								free
Eine Festschrift für Rykle Borger zu seinem 65. Geburtstag am 24. Mai 1994 : Tikip Santakki Mala Bašmu 									http://hdl.handle.net/2333.1/9w0vt654	S.M. Maul	9w0vt654		fulltext							Ancient World Digital Library	global.5644.217			1224925259	monograph								free
Eine ptolemäische Königsurkunde 									http://hdl.handle.net/2333.1/v41ns67r	L. Koenen	v41ns67r		fulltext							Ancient World Digital Library	global.5644.217	669326426 		669326426 	monograph								free
Epilepsy in Babylonia 									http://hdl.handle.net/2333.1/r4xgxfxm	M. Stol	r4xgxfxm		fulltext							Ancient World Digital Library	global.5644.217	614988038		614988038	monograph								free
Epimerismos 									http://hdl.handle.net/2333.1/pvmcvkzc	Günter Poethke	pvmcvkzc		fulltext							Ancient World Digital Library	global.5644.217	669336156		669336156	monograph								free
Ersetzen und Entsühnen : Das Mittelhethitische Ersatzritual für den Großkönig Tuth̬alija (CTH *448.4) und verwandte Texte 									http://hdl.handle.net/2333.1/c59zw5hn	Piotr Taracha	c59zw5hn		fulltext							Ancient World Digital Library	global.5644.217			1224937324	monograph								free
Essays and texts in honor of J. David Thomas 									http://hdl.handle.net/2333.1/7m0cg357	Traianos Gagos	7m0cg357		fulltext							Ancient World Digital Library	global.5644.217	682462981		682462981	monograph								free
Essays in honor of C. Bradford Welles 									http://hdl.handle.net/2333.1/51c5b4dh	Charles Bradford Welles	51c5b4dh		fulltext							Ancient World Digital Library	global.5644.217	603247881 		603247881 	monograph								free
Essays on Ancient Egypt in Honour of Herman te Velde 									http://hdl.handle.net/2333.1/b5mkkzb1	J. van Dijk	b5mkkzb1		fulltext							Ancient World Digital Library	global.5644.217			1224929038	monograph								free
Études mithriaques : Actes du 2e Congrès International, Téhéran, du 1er au 8 septembre 1975. (Actes du Congrès, 4) 									http://hdl.handle.net/2333.1/905qfwnx	Jacques Duchesne-Guillemin	905qfwnx		fulltext							Ancient World Digital Library	global.5644.217	680174552		680174552	monograph								free
Euripides papyri 									http://hdl.handle.net/2333.1/47d7wrtn	Bruce E. Donovan	47d7wrtn		fulltext							Ancient World Digital Library	global.5644.217	1001281925		1001281925	monograph								free
Family Religion in Babylonia, Syria and Israel : Continuity and Change in the Forms of Religious Life 									http://hdl.handle.net/2333.1/931zctbr	Karel van der Toorn	931zctbr		fulltext							Ancient World Digital Library	global.5644.217			1224939789	monograph								free
Gears from the Greeks 									http://hdl.handle.net/2333.1/jh9w12dk	Derek J. de Solla Price	jh9w12dk		fulltext							Ancient World Digital Library	global.5644.217	569538090		569538090	monograph								free
Gilgameš et La Mort : Textes de Tell Haddad VI 									http://hdl.handle.net/2333.1/73n5tcws	A. Cavigneaux 	73n5tcws		fulltext							Ancient World Digital Library	global.5644.217			1224926227	monograph								free
Gilgamesh and Akka 									http://hdl.handle.net/2333.1/b2rbp1jn	D. Katz	b2rbp1jn		fulltext							Ancient World Digital Library	global.5644.217	606116954		606116954	monograph								free
Giza : Bericht über die von der Akademie der Wissenschaften in Wien auf gemeinsame Kosten mit Dr. Wilhelm Pelizaeus unternommenen Grabungen auf dem Friedhof des Alten Reiches bei den Pyramiden von Gīza (Bd.3) 									http://hdl.handle.net/2333.1/w6m90gxt		w6m90gxt		fulltext							Ancient World Digital Library	global.5644.217	746177335a		727878969	monograph			3					free
Giza : Bericht über die von der Akademie der Wissenschaften in Wien auf gemeinsame Kosten mit Dr. Wilhelm Pelizaeus unternommenen Grabungen auf dem Friedhof des Alten Reiches bei den Pyramiden von Gīza (Bd.7) 									http://hdl.handle.net/2333.1/zkh18g03		zkh18g03		fulltext							Ancient World Digital Library	global.5644.217	746177335e		727878969	monograph			7					free
Giza : Bericht über die von der Akademie der Wissenschaften in Wien auf gemeinsame Kosten mit Dr. Wilhelm Pelizaeus unternommenen Grabungen auf dem Friedhof des Alten Reiches bei den Pyramiden von Gīza (Bd.9) 									http://hdl.handle.net/2333.1/rfj6qgc9		rfj6qgc9		fulltext							Ancient World Digital Library	global.5644.217	746177335f		727878969	monograph			9					free
Gîza : Bericht über die von der Akademie der Wissenschaften in Wien auf gemeinsame Kosten mit Dr. Wilhelm Pelizaeus unternommenen Grabungen auf dem Friedhof des Alten Reiches bei den Pyramiden von Gîza (Bd. 1) 									http://hdl.handle.net/2333.1/p5hqc4gk	Hermann Junker	p5hqc4gk		fulltext							Ancient World Digital Library	global.5644.217	727878969a		727878969	monograph			1					free
Gîza : Bericht über die von der Akademie der Wissenschaften in Wien auf gemeinsame Kosten mit Dr. Wilhelm Pelizaeus unternommenen Grabungen auf dem Friedhof des Alten Reiches bei den Pyramiden von Gîza (Bd. 10) 									http://hdl.handle.net/2333.1/73n5tgwd	Hermann Junker	73n5tgwd		fulltext							Ancient World Digital Library	global.5644.217	727878969j		727878969	monograph			10					free
Gîza : Bericht über die von der Akademie der Wissenschaften in Wien auf gemeinsame Kosten mit Dr. Wilhelm Pelizaeus unternommenen Grabungen auf dem Friedhof des Alten Reiches bei den Pyramiden von Gîza (Bd. 11) 									http://hdl.handle.net/2333.1/fn2z39ns	Hermann Junker	fn2z39ns		fulltext							Ancient World Digital Library	global.5644.217	727878969k		727878969	monograph			11					free
Gîza : Bericht über die von der Akademie der Wissenschaften in Wien auf gemeinsame Kosten mit Dr. Wilhelm Pelizaeus unternommenen Grabungen auf dem Friedhof des Alten Reiches bei den Pyramiden von Gîza (Bd. 12) 									http://hdl.handle.net/2333.1/9w0vt94h	Hermann Junker	9w0vt94h		fulltext							Ancient World Digital Library	global.5644.217	727878969l		727878969	monograph			12					free
Gîza : Bericht über die von der Akademie der Wissenschaften in Wien auf gemeinsame Kosten mit Dr. Wilhelm Pelizaeus unternommenen Grabungen auf dem Friedhof des Alten Reiches bei den Pyramiden von Gîza (Bd. 2) 									http://hdl.handle.net/2333.1/sxksn50w	Hermann Junker	sxksn50w		fulltext							Ancient World Digital Library	global.5644.217	727878969b		727878969	monograph			2					free
Gîza : Bericht über die von der Akademie der Wissenschaften in Wien auf gemeinsame Kosten mit Dr. Wilhelm Pelizaeus unternommenen Grabungen auf dem Friedhof des Alten Reiches bei den Pyramiden von Gîza (Bd. 4) 									http://hdl.handle.net/2333.1/mcvdnjcv	Hermann Junker	mcvdnjcv		fulltext							Ancient World Digital Library	global.5644.217	727878969d		727878969	monograph			4					free
Gîza : Bericht über die von der Akademie der Wissenschaften in Wien auf gemeinsame Kosten mit Dr. Wilhelm Pelizaeus unternommenen Grabungen auf dem Friedhof des Alten Reiches bei den Pyramiden von Gîza (Bd. 5) 									http://hdl.handle.net/2333.1/gmsbchwr	Hermann Junker	gmsbchwr		fulltext							Ancient World Digital Library	global.5644.217	727878969e		727878969	monograph			5					free
Gîza : Bericht über die von der Akademie der Wissenschaften in Wien auf gemeinsame Kosten mit Dr. Wilhelm Pelizaeus unternommenen Grabungen auf dem Friedhof des Alten Reiches bei den Pyramiden von Gîza (Bd. 6) 									http://hdl.handle.net/2333.1/bvq83hdv	Hermann Junker	bvq83hdv		fulltext							Ancient World Digital Library	global.5644.217	727878969f		727878969	monograph			6					free
