note,date updated,status,publication_title_original,publication_title_transliteration,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name,location,title_notes,staff_notes,vendor_id,oclc_collection_name,oclc_collection_id,oclc_entry_id,oclc_linkscheme,oclc_number,ACTION,Aleph BSN,publication_type,date_monograph_published_print,date_monograph_published_online,monograph_volume,monograph_edition,first_editor,parent_publication_title_id,preceding_publication_title_id,access_type,previous_url
"removed the 2nd entry (with uniform title) has been removed from oclc and from this spreadsheet.  Check the oclc ws if they applied correctly, 1/4/2021, jk",,oclc ws,"A new discovery of a component of Greek astrology in Babylonian tablets: the """"terms""""",,,,,,,,,,http://doi.org/2333.1/k98sf96r,Alexander Jones,k98sf96r,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,768969647,,768969647,raw,003551343,monograph,,,,,,,,free,
"updated M, AN - JAS 4/6/21",,oclc ws,A photographic souvenir of Egypt,,,,,,,,,,http://hdl.handle.net/2333.1/cjsxm3qc,,cjsxm3qc,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,746177255,,746177255,raw,003498056,monograph,,,,,,,,free,http://dlib.nyu.edu/awdl/books/photographicsouv00vegn
,,local update,"A pilgrimage to the temples and tombs of Egypt, Nubia, and Palestine, in 1845-6 (v.1)",,,,,,,,,,http://hdl.handle.net/2333.1/7sqvb367,,7sqvb367,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,615665980a,,615665980,raw,003498057,monograph,,,1,,,,,free,http://dlib.nyu.edu/awdl/books/pilgrimagetotemp01rome
,,local update,"A pilgrimage to the temples and tombs of Egypt, Nubia, and Palestine, in 1845-6 (v.2)",,,,,,,,,,http://hdl.handle.net/2333.1/41ns22px,,41ns22px,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,615665980b,,615665980,raw,003498057,monograph,,,2,,,,,free,http://dlib.nyu.edu/awdl/books/pilgrimagetotemp02rome
,,local update,A Samaritan Philosophy : A Study of the Hellenistic Cultural Ethos of the Memar Marqah,,,,,,,,,,http://hdl.handle.net/2333.1/x0k6dmcz,A. Broadie,x0k6dmcz,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,,,1224934362,raw,003710203,monograph,,,,,,,,free,
,,oclc ws,A sixth century account of hay (P. Iand. Inv. 653),,,,,,,,,,http://hdl.handle.net/2333.1/m63xspzx,T. Reekmans,m63xspzx,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,669322150,,669322150,raw,005684177,monograph,,,,,,,,free,
Duplicate has been taken care of with oclc ws entries.  Just check if they are approved.  jk 1/4/2021,,oclc ws,A Syriac fragment from the Cause of All Causes on the Pillars of Hercules,,,,,,,,,,http://doi.org/2333.1/j9kd5302,Adam C. McCollum,j9kd5302,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,828186962,,828186962,raw,003703818,monograph,,,,,,,,free,
"updated M, AN - JAS 4/6/21",,oclc ws,A thousand miles up the Nile,,,,,,,,,,http://hdl.handle.net/2333.1/wdbrvb9b,,wdbrvb9b,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,746177292,,746177292,raw,003498138,monograph,,,,,,,,free,http://dlib.nyu.edu/awdl/books/thousandmilesupn00edwa
,,oclc ws,A Yale papyrus (P Yale III 137) in the Beinecke Rare Book and Manuscript Library III,,,,,,,,,,http://hdl.handle.net/2333.1/41ns1x42,Paul Schubert,41ns1x42,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,652329949,,652329949,raw,004068916,monograph,,,,,,,,free,
,,oclc ws,Abbreviations in Greek Literary Papyri and Ostraca,,,,,,,,,,http://hdl.handle.net/2333.1/gtht7bz1,Kathleen McNamee,gtht7bz1,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,970345258,,970345258,raw,004571773,monograph,,,,,,,,free,
,,oclc ws,"Abū Sa‘īd-i Abū l-Hayr (357-440/967-1049) : Wirklichkeit und Legende. (Textes et Mémoires, 4).","Abū Sa‘īd-i Abū l-Hayr (357-440/967-1049) : Wirklichkeit und Legende. (Textes et Mémoires, 4).",,,,,,,,,http://hdl.handle.net/2333.1/hx3ffd84,F. Meier,hx3ffd84,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,988154456,,988154456,raw,003709763,monograph,,,,,,,,free,
MarcEdit needed (OCLC has non-stable AWDL link only),,local update,Abydos: le temple de Séti Ier,,,,,,,,,,http://hdl.handle.net/2333.1/bzkh1kdp,,bzkh1kdp,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,730929765,,730929765,raw,003458980,monograph,,,,,,,,free,http://dlib.nyu.edu/awdl/books/abydosletemplede00capa
,,oclc ws,"Actes du Ve Congrès International de Papyrologie, Oxford, 30 août-3 septembre 1937",,,,,,,,,,http://hdl.handle.net/2333.1/bg79cz55,,bg79cz55,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,760922260,,760922260,raw,007566076,monograph,,,,,,,,free,
"updated M, AN - JAS 4/6/21",,oclc ws,Aegypten zur zeit der pyramidenerbauer,,,,,,,,,,http://hdl.handle.net/2333.1/mgqnkmf5,,mgqnkmf5,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,903877101,,903877101,raw,003458983,monograph,,,,,,,,free,http://dlib.nyu.edu/awdl/books/aegyptenzurzeitd00meye
,,oclc ws,Ägyptische Eheverträge,,,,,,,,,,http://hdl.handle.net/2333.1/zw3r26r0,Erich Lüddeckens,zw3r26r0,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,770787413,,770787413,raw,004571797,monograph,,,,,,,,free,
"updated M, AN - JAS 4/6/21",,oclc ws,"Ahnas el Medineh (Heracleopolis Magna) : with chapters on Mendes, the nome of Thoth, and Leontopolis",,,,,,,,,,http://hdl.handle.net/2333.1/r7sqvmz9,,r7sqvmz9,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,730929768,,730929768,raw,003458984,monograph,,,,,,,,free,http://dlib.nyu.edu/awdl/books/ahnaselmedinehhe11navi
Added handle link - 1/11/21 gm,,oclc ws,"Aksum and Nubia : warfare, commerce, and political fictions in ancient Northeast Africa",,,,,,,,,,http://hdl.handle.net/2333.1/tqjq2dg1,,tqjq2dg1,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,828687618,,828687618,raw,003764366,monograph,,,,,,,,free,
,,oclc ws,"Alexander the Great: coinage, finances, and policy",,,,,,,,,,http://hdl.handle.net/2333.1/pnvx0vt8,Georges Le Rider,pnvx0vt8,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,1165363379,,1165363379,raw,007566604,monograph,,,,,,,,free,
,,oclc ws,All those Nations : Cultural Encounters within and with the Near East,,,,,,,,,,http://hdl.handle.net/2333.1/79cnp78f,H.L.J. Vanstiphout,79cnp78f,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,607347461,,607347461,raw,003709800,monograph,,,,,,,,free,
,,oclc ws,Amulets,,,,,,,,,,http://hdl.handle.net/2333.1/0rxwdnsf,,0rxwdnsf,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,730929769,,730929769,raw,003458986,monograph,,,,,,,,free,http://dlib.nyu.edu/awdl/books/amulets35reis
,,oclc ws,An adventure of great dimension : the launching of the Chicago Assyrian dictionary,,,,,,,,,,http://hdl.handle.net/2333.1/15dv46w8,Erica Reiner,15dv46w8,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,214460427,,214460427,raw,005987007,monograph,,,,,,,,free,
Needs handle link (From Sebastian),,in progress,An oasis city,,9781479889228,,,,,,,,http://dlib.nyu.edu/awdl/isaw/oasis-city/,,isaw/oasis-city,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,929452210,,929452210,raw,004833363,monograph,,,,,,,,free,
"check oclc ws title updates has been approved, jk 1/5/2021",,oclc ws,An Overview of the Numismatic Evidence from Imperial Roman Africa,,,,,,,,,,http://doi.org/2333.1/76hdrfz3,Daniel Hoyer,76hdrfz3,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,1046078121,,1046078121,raw,006255211,monograph,,,,,,,,free,
,,local update,Ancient Ammon,,,,,,,,,,http://hdl.handle.net/2333.1/jm63xvdj,Burton MacDonald ,jm63xvdj,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,1224922620,,1224922620,raw,003710177,monograph,,,,,,,,free,
,,oclc ws,Ancient Building in Cyprus : Part 1: Text,,,,,,,,,,http://hdl.handle.net/2333.1/1g1jwvjt,G.R.H. Wright,1g1jwvjt,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,643807504a,,643807504,raw,003709874,monograph,,,,,,,,free,
,,oclc ws,Ancient Building in Cyprus : Part 2: Illustrations,,,,,,,,,,http://hdl.handle.net/2333.1/wpzgmv6t,G.R.H. Wright,wpzgmv6t,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,643807504b,,643807504,raw,003709874,monograph,,,,,,,,free,
,,oclc ws,Ancient Egyptian Literature : History and Forms,,,,,,,,,,http://hdl.handle.net/2333.1/gmsbcdvw,Antonio Loprieno,gmsbcdvw,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,942022996,,942022996,raw,003709880,monograph,,,,,,,,free,
,,oclc ws,"Ancient Synagogues: Historical Analysis and Archaeological Discovery, v.1",,,,,,,,,,http://hdl.handle.net/2333.1/hmgqnn48,Dan Urman,hmgqnn48,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,621803849a,,621803849,raw,003710208,monograph,,,1,,,,,free,
,,oclc ws,"Ancient Synagogues: Historical Analysis and Archaeological Discovery, v.2",,,,,,,,,,http://hdl.handle.net/2333.1/cvdncmmx,Dan Urman ,cvdncmmx,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,621803849b,,621803849,raw,003710208,monograph,,,2,,,,,free,
,,oclc ws,Annotations in Greek and Latin texts from Egypt,,,,,,,,,,http://hdl.handle.net/2333.1/6m905vz5,Kathleen McNamee,6m905vz5,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,984129165,,984129165,raw,004068924,monograph,,,,,,,,free,
"updated M, AN - JAS 4/6/21",,oclc ws,Antinoë et les sépultures de Thaïs et Sérapion,,,,,,,,,,http://hdl.handle.net/2333.1/4j0zpp8m,,4j0zpp8m,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,730929770,,730929770,raw,003458988,monograph,,,,,,,,free,http://dlib.nyu.edu/awdl/books/antinoetless00gaye
"updated M, AN - JAS 4/6/21",,oclc ws,Archaic objects (t.1),,,,,,,,,,http://hdl.handle.net/2333.1/866t1s38,,866t1s38,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,730929771a,,730929771,raw,003458989,monograph,,,,,,,,free,http://dlib.nyu.edu/awdl/books/archaicobjects00quib
"updated M, AN - JAS 4/6/21",,oclc ws,Archaic objects (t.2),,,,,,,,,,http://hdl.handle.net/2333.1/cz8w9sk4,,cz8w9sk4,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,730929771b,,730929771,raw,003458989,monograph,,,,,,,,free,http://dlib.nyu.edu/awdl/books/archaicobjects02quib
,,oclc ws,Areika,,,,,,,,,,http://hdl.handle.net/2333.1/vt4b8nrx,David Randall-MacIver,vt4b8nrx,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,540975412,,540975412,raw,003458991,monograph,,,,,,,,free,
"updated M, AN - JAS 4/6/21",,oclc ws,Art in Egypt,,,,,,,,,,http://hdl.handle.net/2333.1/hqbzkt4q,,hqbzkt4q,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,730929772,,730929772,raw,003458993,monograph,,,,,,,,free,http://dlib.nyu.edu/awdl/books/artinegypt00masp
,,oclc ws,Aspects of genre and type in pre-modern literary cultures,,,,,,,,,,http://hdl.handle.net/2333.1/2fqz62vg,"Bert Roest, H.L.J. Vanstiphout",2fqz62vg,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,607347471,,607347471,raw,003709799,monograph,,,,,,,,free,
,,oclc ws,Aspects of Old Assyrian Trade and its Terminology,,,,,,,,,,http://hdl.handle.net/2333.1/t76hdt3r,K.R. Veenhof,t76hdt3r,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,793605242,,793605242,raw,003709759,monograph,,,,,,,,free,
,,oclc ws,Astral magic in Babylonia,,,,,,,,,,http://hdl.handle.net/2333.1/dfn2z8f5,Erica Reiner,dfn2z8f5,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,681653665,,681653665,raw,005987002,monograph,,,,,,,,free,
,,oclc ws,Athletics and mathematics in archaic Corinth,,,,,,,,,,http://hdl.handle.net/2333.1/nzs7h9fh,David Gilman Romano,nzs7h9fh,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,1022269003,,1022269003,raw,005986999,monograph,,,,,,,,free,
,,oclc ws,Au temps où on lisait le grec en Égypte,,,,,,,,,,http://hdl.handle.net/2333.1/qz612qgg,Jean Bingen,qz612qgg,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,680266671,,680266671,raw,005684231,monograph,,,,,,,,free,
,,oclc ws,Babylonian horoscopes,,,,,,,,,,http://hdl.handle.net/2333.1/xd254dr4,Francesca Rochberg,xd254dr4,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,796384408 ,,796384408 ,raw,005986996,monograph,,,,,,,,free,
,,oclc ws,Babylonian Planetary Omens: Part Three,,,,,,,,,,http://hdl.handle.net/2333.1/3j9kd6r3,E. Reiner ,3j9kd6r3,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,624470115,,624470115,raw,003709805,monograph,,,,,,,,free,
"updated M, AN - JAS 4/6/21",,oclc ws,Balabish,,,,,,,,,,http://hdl.handle.net/2333.1/ngf1vtp6,,ngf1vtp6,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,827456882,,827456882,raw,003458994,monograph,,,,,,,,free,http://dlib.nyu.edu/awdl/books/balabish37wain
,,local update,Beiträge zur Geschichte Ägyptens unter dem Islam (v.1),,,,,,,,,,http://hdl.handle.net/2333.1/s7h44v5f,,s7h44v5f,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,730929773a,,730929773,raw,003458997,monograph,,,1,,,,,free,http://dlib.nyu.edu/awdl/books/beitrgezurgesc01beck
,,local update,Beiträge zur Geschichte Ägyptens unter dem Islam (v.2),,,,,,,,,,http://hdl.handle.net/2333.1/x0k6dvnb,,x0k6dvnb,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,730929773b,,730929773,raw,003458997,monograph,,,2,,,,,free,http://dlib.nyu.edu/awdl/books/beitrgezurgesc02beck
"Confirmed, OCLC # updated - 1/11/21 gm",,local update,Beni Hasan v.1,,,,,,,,,,http://hdl.handle.net/2333.1/573n637x,Percy E. Newberry,573n637x,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,769625867a,,769625867,raw,003458999,monograph,,,1,,,,,free,
"Confirmed, OCLC # updated - 1/11/21 gm",,local update,Beni Hasan v.2,,,,,,,,,,http://hdl.handle.net/2333.1/1g1jx2qf,Percy E. Newberry,1g1jx2qf,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,769625867b,,769625867,raw,003458999,monograph,,,2,,,,,free,
"Confirmed, OCLC # updated - 1/11/21 gm",,local update,Beni Hasan v.3,,,,,,,,,,http://hdl.handle.net/2333.1/p5hqc7m5,Percy E. Newberry,p5hqc7m5,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,769625867c,,769625867,raw,003458999,monograph,,,3,,,,,free,
"Confirmed, OCLC # updated - 1/11/21 gm",,local update,Beni Hasan v.4,,,,,,,,,,http://hdl.handle.net/2333.1/sxksn84g,Percy E. Newberry,sxksn84g,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,769625867d,,769625867,raw,003458999,monograph,,,4,,,,,free,
Duplicate - remove,,delete,Beni Hasan. (5th),,,,,,,,,,http://dlib.nyu.edu/awdl/books/benihasan05egyp,,books/benihasan05egyp,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,730929774a,,730929774,raw,003458999,monograph,,,5,,,,,free,
Duplicate - remove,,delete,Beni Hasan. (7th),,,,,,,,,,http://dlib.nyu.edu/awdl/books/benihasan07egyp,,books/benihasan07egyp,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,730929774b,,730929774,raw,003458999,monograph,,,7,,,,,free,
OCLC # and title updated 1-8-21 gm,,local update,Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.10,,,,,,,,,,http://hdl.handle.net/2333.1/4mw6mc5g,W. D. van Wijngaarden,4mw6mc5g,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,842368803i,,842368803,raw,004571719,monograph,,,,,,,,free,
OCLC # and title updated 1-8-21 gm,,local update,Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.11,,,,,,,,,,http://hdl.handle.net/2333.1/rbnzs9tw,W. D. van Wijngaarden,rbnzs9tw,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,842368803j,,842368803,raw,004571719,monograph,,,,,,,,free,
OCLC # and title updated 1-8-21 gm,,local update,Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.12,,,,,,,,,,http://hdl.handle.net/2333.1/w3r22bbg,W. D. van Wijngaarden,w3r22bbg,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,842368803k,,842368803,raw,004571719,monograph,,,,,,,,free,
OCLC # and title updated 1-8-21 gm,,local update,Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.13,,,,,,,,,,http://hdl.handle.net/2333.1/jdfn33z7,W. D. van Wijngaarden,jdfn33z7,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,842368803l,,842368803,raw,004571719,monograph,,,,,,,,free,
OCLC # and title updated 1-8-21 gm,,local update,Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.2,,,,,,,,,,http://hdl.handle.net/2333.1/sbcc2j28,W. D. van Wijngaarden,sbcc2j28,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,842368803b,,842368803,raw,004571719,monograph,,,,,,,,free,
OCLC # and title updated 1-8-21 gm,,local update,Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.3,,,,,,,,,,http://hdl.handle.net/2333.1/8931zg02,W. D. van Wijngaarden,8931zg02,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,842368803c,,842368803,raw,004571719,monograph,,,,,,,,free,
OCLC # and title updated 1-8-21 gm,,local update,Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.4,,,,,,,,,,http://hdl.handle.net/2333.1/d2547ghb,W. D. van Wijngaarden,d2547ghb,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,842368803d,,842368803,raw,004571719,monograph,,,,,,,,free,
OCLC # and title updated 1-8-21 gm,,local update,Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.5,,,,,,,,,,http://hdl.handle.net/2333.1/nk98shjs,W. D. van Wijngaarden,nk98shjs,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,842368803e,,842368803,raw,004571719,monograph,,,,,,,,free,
OCLC # and title updated 1-8-21 gm,,local update,Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.6,,,,,,,,,,http://hdl.handle.net/2333.1/ht76hh1n,W. D. van Wijngaarden,ht76hh1n,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,842368803f,,842368803,raw,004571719,monograph,,,,,,,,free,
OCLC # and title updated 1-8-21 gm,,local update,Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.8,,,,,,,,,,http://hdl.handle.net/2333.1/c2fqz885,W. D. van Wijngaarden,c2fqz885,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,842368803g,,842368803,raw,004571719,monograph,,,,,,,,free,
OCLC # and title updated 1-8-21 gm,,local update,Beschreibung der aegyptischen Sammlung des niederländischen Reichsmuseums der Altertümer in Leiden Bd.9,,,,,,,,,,http://hdl.handle.net/2333.1/0vt4bbn4,W. D. van Wijngaarden,0vt4bbn4,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,842368803h,,842368803,raw,004571719,monograph,,,,,,,,free,
,,local update,Birth in Babylonia and the Bible : Its Mediterranean setting,,,,,,,,,,http://hdl.handle.net/2333.1/zs7h46d5,M. Stol,zs7h46d5,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,,,1224935169,raw,003709819,monograph,,,,,,,,free,
,,oclc ws,Briefe aus dem Archive des Šamaś-Hāzir in Paris und Oxford (TCL 7 und OECT 3),,,,,,,,,,http://hdl.handle.net/2333.1/0rxwddh2,F.R. Kraus,0rxwddh2,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,1103183575? ,,1103183575? ,raw,003709726,monograph,,,,,,,,free,
,,local update,Briefe aus dem British Museum (CT 52),,,,,,,,,,http://hdl.handle.net/2333.1/r7sqvcnp,F.R. Kraus,r7sqvcnp,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,,,1182548395,raw,003709730,monograph,,,,,,,,free,
,,local update,Briefe aus dem Istanbuler Museum,,,,,,,,,,http://hdl.handle.net/2333.1/w0vt4d55,F.R. Kraus,w0vt4d55,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,,,1182548207,raw,003709728,monograph,,,,,,,,free,
" updated M, AN - JAS 4/6/21",,oclc ws,Bubastis (1887-1889),,,,,,,,,,http://hdl.handle.net/2333.1/5dv41zsn,,5dv41zsn,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,730929778,,730929778,raw,003459007,monograph,,,,,,,,free,http://dlib.nyu.edu/awdl/books/bubastis08navi
,,oclc ws,Buhen v.7,,,,,,,,,,http://hdl.handle.net/2333.1/0k6djp2t,David Randall-MacIver,0k6djp2t,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,540967196a,,540967196,raw,003459008,monograph,,,,,,7,,free,
,,oclc ws,Buhen v.8,,,,,,,,,,http://hdl.handle.net/2333.1/8w9gj615,David Randall-MacIver,8w9gj615,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,540967196b,,540967196,raw,003459008,monograph,,,,,,8,,free,
,,oclc ws,Caesarea Maritima : A Retrospective after Two Millennia,,,,,,,,,,http://hdl.handle.net/2333.1/n5tb2t5c,Avner Raban ,n5tb2t5c,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,605932967,,605932967,raw,003709858,monograph,,,,,,,,free,
,,oclc ws,Candidates defeated in Roman elections,,,,,,,,,,http://hdl.handle.net/2333.1/n8pk0vpm,T. Robert S. Broughton,n8pk0vpm,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,81145291,,81145291,raw,005987010,monograph,,,,,,,,free,
,,oclc ws,"Carthage et les Grecs, c. 580-480 av. J.-C. : Textes et histoire",,,,,,,,,,http://hdl.handle.net/2333.1/jq2bvs24,Véronique Krings,jq2bvs24,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,607385092,,607385092,raw,003710170,monograph,,,,,,,,free,
" updated M, AN - JAS 4/6/21",,local update,Catalogue des monuments et inscriptions de l'Égypte antique (t.2),,,,,,,,,,http://hdl.handle.net/2333.1/95x6b08x,,95x6b08x,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,730929779a,,730929779,raw,003459013,monograph,,,,,,,,free,http://dlib.nyu.edu/awdl/books/cataloguedesmonu21egyp
" updated M, AN - JAS 4/6/21",,local update,Catalogue des monuments et inscriptions de l'Égypte antique (t.3.1),,,,,,,,,,http://hdl.handle.net/2333.1/jq2bw1bp,,jq2bw1bp,,ebook,,,,,,,Ancient World Digital Library,global.5644.217,730929779c,,730929779,raw,003459013,monograph,,,,,,,,free,http://dlib.nyu.edu/awdl/books/cataloguedesmonu31egyp
